fund_name,manager_name,sub_strategy,vintage_year,irr_percent,tvpi,dpi,lp_name,source_file,source_url,normalized_fund_name,matched_lp_fund_id,matched_lp_fund_name,lp_match_score,strategy,geography,lpdata_irr,lpdata_tvpi,lpdata_dpi,normalized_name
2000 Riverside Capital Appreciation Fund,Riverside,buyout,2000.0,19.1,1.8,1.94796,Oregon Treasury,FOIA-Q3-2020-OPERF.pdf,https://www.oregon.gov/treasury/invested-for-oregon/Documents/Invested-for-OR-Performance-and-Holdings/2020/FOIA-Q3-2020-OPERF.pdf,2000 riverside appreciation,riverside-capital-appreciation-fund,Riverside Capital Appreciation Fund,1,private_equity,north_america,0.172,1.95,1.94796,2000 riverside capital appreciation fund
2003 Riverside Capital Appreciation Fund,Riverside,buyout,2003.0,17.2,2.06,1.94796,Oregon Treasury,FOIA-Q3-2020-OPERF.pdf,https://www.oregon.gov/treasury/invested-for-oregon/Documents/Invested-for-OR-Performance-and-Holdings/2020/FOIA-Q3-2020-OPERF.pdf,2003 riverside appreciation,riverside-capital-appreciation-fund,Riverside Capital Appreciation Fund,1,private_equity,north_america,0.172,1.95,1.94796,2003 riverside capital appreciation fund
AEP IV OPERF Co-Investments,Pharos,buyout,2018.0,6.5,1.4,1.68648,Oregon Treasury,OPERF_Private_Equity_Portfolio_-_Quarter_2_2025.pdf,https://www.oregon.gov/treasury/invested-for-oregon/Documents/Invested-for-OR-Performance-and-Holdings/2025/OPERF_Private_Equity_Portfolio_-_Quarter_2_2025.pdf,aep 4 operf co investments,pharos-capital-co-investments-lp,"Pharos Capital Co-Investments, LP",1,private_equity,north_america,0.0842,1.69,1.68648,aep iv operf co-investments
AEP IV OPERS Co-Investments,Pharos,buyout,2018.0,16.4,1.85,1.68648,Oregon Treasury,PrivateEquity-Q3-2023.pdf,https://www.oregon.gov/treasury/invested-for-oregon/Documents/Invested-for-OR-Performance-and-Holdings/2023/PrivateEquity-Q3-2023.pdf,aep 4 opers co investments,pharos-capital-co-investments-lp,"Pharos Capital Co-Investments, LP",1,private_equity,north_america,0.0842,1.69,1.68648,aep iv opers co-investments
Advent International GPE VII C,Advent,buyout,2012.0,14.9,1.84,1.72807,Oregon Treasury,FOIA-Q3-2020-OPERF.pdf,https://www.oregon.gov/treasury/invested-for-oregon/Documents/Invested-for-OR-Performance-and-Holdings/2020/FOIA-Q3-2020-OPERF.pdf,advent international gpe 7 c,advent-international-gpe-vii-c-l-p,"Advent International GPE VII-C, L.P.",1,private_equity,global,0.1316,1.81,1.72807,advent international gpe vii c
Apax VIII-B,Apax,buyout,2012.0,16.7,1.95,1.5048,Oregon Treasury,FOIA-Q3-2020-OPERF.pdf,https://www.oregon.gov/treasury/invested-for-oregon/Documents/Invested-for-OR-Performance-and-Holdings/2020/FOIA-Q3-2020-OPERF.pdf,apax 8 b,apax-viii-b-l-p,Apax VIII-B LP,1,private_equity,global,0.137,1.5,1.5048,apax viii-b
Apollo Investment Fund VI,Apollo,buyout,2006.0,8.7,1.69,1.5,Oregon Treasury,FOIA-Q3-2020-OPERF.pdf,https://www.oregon.gov/treasury/invested-for-oregon/Documents/Invested-for-OR-Performance-and-Holdings/2020/FOIA-Q3-2020-OPERF.pdf,apollo investment 6,apollo-investment-fund-vi-l-p,Apollo Investment Fund VI L.P.,1,private_equity,north_america,0.0861,1.52,1.5,apollo investment fund vi
Apollo Investment Fund VII,Apollo,buyout,2008.0,22.2,1.93,1.75,Oregon Treasury,FOIA-Q3-2020-OPERF.pdf,https://www.oregon.gov/treasury/invested-for-oregon/Documents/Invested-for-OR-Performance-and-Holdings/2020/FOIA-Q3-2020-OPERF.pdf,apollo investment 7,apollo-investment-fund-vii-l-p,"Apollo Investment Fund VII, L.P.",1,private_equity,north_america,0.2253,1.75,1.75,apollo investment fund vii
Aquiline Oregon Co-Investment Fund,Main Post,growth_equity,2019.0,22.9,1.78,0.3712,Oregon Treasury,PrivateEquity-Q3-2023.pdf,https://www.oregon.gov/treasury/invested-for-oregon/Documents/Invested-for-OR-Performance-and-Holdings/2023/PrivateEquity-Q3-2023.pdf,aquiline oregon co investment,main-post-co-investment,Main Post Co-Investment,1,private_equity,global,0.292,5.26,0.3712,aquiline oregon co-investment fund
Asia Opportunity Fund II,FirstMark,venture_capital,2005.0,7.3,1.68,1.6623,Oregon Treasury,FOIA-Q3-2020-OPERF.pdf,https://www.oregon.gov/treasury/invested-for-oregon/Documents/Invested-for-OR-Performance-and-Holdings/2020/FOIA-Q3-2020-OPERF.pdf,asia opportunity 2,firstmark-capital-opportunity-fund-ii,FirstMark Capital Opportunity Fund II,1,private_equity,north_america,,2.3,1.6623,asia opportunity fund ii
