investment_recommendation,reason_summary,data_confidence,red_flag_count,red_flag_reasons,fund_name,manager_name,vintage_year,vintage_age,sub_strategy,geography,irr_max,tvpi_max,dpi_max,irr_quality,tvpi_quality,dpi_quality,has_institutional_match,institutional_fund_name,institutional_trend_score,match_score,fund_id,strategy,lp_count,irr_min,tvpi_min,dpi_min,gross_asset_value_usd,final_close_size_usd,latest_as_of_date,lp_fund_id,lp_fund_name,lp_manager_name,lp_vintage_year,lp_sub_strategy,lp_geography,lp_irr_max,lp_tvpi_max,lp_dpi_max,canonical_fund_id,institutional_vintage_year,institutional_quarter_count,institutional_latest_quarter,institutional_latest_tvpi,institutional_latest_irr,institutional_tvpi_change_total
Watchlist,Acceptable IRR | Acceptable TVPI | Strong realized DPI | No institutional match,Medium,0,,(Ardian) AXA LBO Fund V LP,Ardian,2012.0,14.0,buyout,europe,0.112,1.6,1.54624,Acceptable IRR,Acceptable TVPI,Strong realized DPI,False,,,,ardian-axa-lbo-fund-v-lp,private_equity,1,0.112,1.6,1.54624,,,2024-12-31,,,,,,,,,,,,,,,,
Good Candidate,Good IRR | Good TVPI | Strong realized DPI | No institutional match,Medium,0,,(Freeman Spogli) FS Equity Partners V LP,Freeman Spogli,2003.0,23.0,buyout,north_america,0.161,2.1,2.09723,Good IRR,Good TVPI,Strong realized DPI,False,,,,freeman-spogli-fs-equity-partners-v-lp,private_equity,1,0.161,2.1,2.09723,,,2024-12-31,,,,,,,,,,,,,,,,
Good Candidate,Good IRR | Excellent TVPI | Strong realized DPI | No institutional match,Medium,0,,(Freeman Spogli) FS Equity Partners VI LP,Freeman Spogli,2009.0,17.0,buyout,north_america,0.231,3.08,3.08434,Good IRR,Excellent TVPI,Strong realized DPI,False,,,,freeman-spogli-fs-equity-partners-vi-lp,private_equity,1,0.231,3.08,3.08434,,,2024-12-31,,,,,,,,,,,,,,,,
Needs More Data,Acceptable IRR | Acceptable TVPI | Low realization | No institutional match,Medium,0,,(Freeman Spogli) FS Equity Partners VII LP,Freeman Spogli,2014.0,12.0,buyout,north_america,0.092,1.59,0.743556,Acceptable IRR,Acceptable TVPI,Low realization,False,,,,freeman-spogli-fs-equity-partners-vii-lp,private_equity,1,0.092,1.59,0.743556,,,2024-12-31,,,,,,,,,,,,,,,,
Needs More Data,Acceptable IRR | Acceptable TVPI | Weak DPI for age | No institutional match,Medium,0,,(Freeman Spogli) FS Equity Partners VIII LP,Freeman Spogli,2019.0,7.0,buyout,north_america,0.139,1.56,0.0491801,Acceptable IRR,Acceptable TVPI,Weak DPI for age,False,,,,freeman-spogli-fs-equity-partners-viii-lp,private_equity,1,0.139,1.56,0.0491801,,,2024-12-31,,,,,,,,,,,,,,,,
Good Candidate,Good IRR | Good TVPI | Strong realized DPI | No institutional match,Medium,0,,(Grove Street) GS Partners Buyouts II LLC,Grove Street,2011.0,15.0,buyout,global,0.15,1.95,1.61534,Good IRR,Good TVPI,Strong realized DPI,False,,,,grove-street-gs-partners-buyouts-ii-llc,private_equity,1,0.15,1.95,1.61534,,,2024-12-31,,,,,,,,,,,,,,,,
Watchlist,Acceptable IRR | Acceptable TVPI | Strong realized DPI | No institutional match,Medium,0,,(Grove Street) GS Partners Buyouts LLC,Grove Street,2006.0,20.0,buyout,global,0.106,1.66,1.62726,Acceptable IRR,Acceptable TVPI,Strong realized DPI,False,,,,grove-street-gs-partners-buyouts-llc,private_equity,1,0.106,1.66,1.62726,,,2024-12-31,,,,,,,,,,,,,,,,
Good Candidate,Good IRR | Excellent TVPI | Strong realized DPI | No institutional match,Medium,0,,(Grove Street) GS Partners Ventures II LLC,Grove Street,2008.0,18.0,buyout,global,0.206,3.37,2.78988,Good IRR,Excellent TVPI,Strong realized DPI,False,,,,grove-street-gs-partners-ventures-ii-llc,private_equity,1,0.206,3.37,2.78988,,,2024-12-31,,,,,,,,,,,,,,,,
Good Candidate,Good IRR | Excellent TVPI | Strong realized DPI | No institutional match,Medium,0,,(Grove Street) GS Partners Ventures III LLC,Grove Street,2013.0,13.0,buyout,global,0.182,2.91,1.84705,Good IRR,Excellent TVPI,Strong realized DPI,False,,,,grove-street-gs-partners-ventures-iii-llc,private_equity,1,0.182,2.91,1.84705,,,2024-12-31,,,,,,,,,,,,,,,,
Needs More Data,Weak IRR | Acceptable TVPI | Strong realized DPI | No institutional match,Medium,0,,(Grove Street) GS Partners Ventures LLC,Grove Street,2004.0,22.0,buyout,global,0.072,1.56,1.55993,Weak IRR,Acceptable TVPI,Strong realized DPI,False,,,,grove-street-gs-partners-ventures-llc,private_equity,1,0.072,1.56,1.55993,,,2024-12-31,,,,,,,,,,,,,,,,
