fund_id,fund_name,manager_id,manager_name,vintage_year,strategy,sub_strategy,geography,status,final_close_size_usd,lp_count,gross_asset_value_usd,total_amount_sold_usd,irr_min,irr_max,tvpi_min,tvpi_max,dpi_min,dpi_max,latest_as_of_date,report_evidence_count,best_report_confidence,best_report_evidence_score,report_sources,report_urls,report_mentions,irr_percent_for_vintage,irr_vintage_percentile,tvpi_vintage_percentile,dpi_vintage_percentile,irr_vintage_quartile,tvpi_vintage_quartile,dpi_vintage_quartile,overall_vintage_score,overall_vintage_quartile,vintage_benchmark_label
ardian-asf-vi-b-lp,(Ardian) ASF VI-B LP,ardian,Ardian,2013.0,real_assets,infrastructure,north_america,,,1,,,0.113,0.113,1.42,1.42,1.3138,1.3138,2025-06-30,0,,0.0,,,,11.3,53.95348837209303,43.63636363636363,53.47826086956522,Q2,Q3,Q2,2.6666666666666665,Q2,Above median vs vintage
ardian-asf-vii-b-lp,(Ardian) ASF VII-B LP,ardian,Ardian,2015.0,real_assets,infrastructure,north_america,,,1,,,0.129,0.129,1.51,1.51,1.06766,1.06766,2025-06-30,0,,0.0,,,,12.9,49.65277777777778,40.46052631578947,47.82608695652174,Q3,Q3,Q3,2.0,Q3,Below median vs vintage
ardian-asf-viii-b-lp,(Ardian) ASF VIII-B LP,ardian,Ardian,2018.0,real_assets,infrastructure,north_america,,,1,,,0.137,0.137,1.37,1.37,0.454775,0.454775,2025-06-30,0,,0.0,,,,13.700000000000001,54.391891891891895,35.84905660377358,38.71951219512195,Q2,Q3,Q3,2.3333333333333335,Q3,Above median vs vintage
ardian-axa-lbo-fund-v-lp,(Ardian) AXA LBO Fund V LP,ardian,Ardian,2012.0,private_equity,buyout,europe,,,1,,,0.11,0.11,1.58,1.58,1.54373,1.54373,2025-06-30,0,,0.0,,,,11.0,47.004608294930875,46.118721461187214,63.0901287553648,Q3,Q3,Q2,2.3333333333333335,Q3,Above median vs vintage
ardian-axa-secondary-fund-v-b-lp,(Ardian) AXA Secondary Fund V-B LP,ardian,Ardian,2010.0,private_equity,secondaries,global,,,1,,,0.163,0.163,1.6,1.6,1.60239,1.60239,2025-06-30,0,,0.0,,,,16.3,78.70967741935485,52.56410256410257,69.32515337423312,Q1,Q2,Q2,3.3333333333333335,Q2,Strong vs vintage
dbag-european-private-equity-opportunities-i-lp,(DBAG) European Private Equity Opportunities I LP,dbag,DBAG,2017.0,opportunistic,multi_strategy,europe,,,1,,,0.107,0.107,1.48,1.48,0.51158,0.51158,2025-06-30,0,,0.0,,,,10.7,35.0597609561753,37.5,29.588014981273407,Q3,Q3,Q3,2.0,Q3,Below median vs vintage
dbag-european-private-equity-opportunities-ii-lp,(DBAG) European Private Equity Opportunities II LP,dbag,DBAG,2020.0,opportunistic,multi_strategy,europe,,,1,,,0.133,0.133,1.42,1.42,0.346061,0.346061,2025-06-30,0,,0.0,,,,13.3,65.88921282798835,64.28571428571429,63.3245382585752,Q2,Q2,Q2,3.0,Q2,Strong vs vintage
dbag-european-private-equity-opportunities-lp,(DBAG) European Private Equity Opportunities LP,deutsche-beteiligungs-ag,Deutsche Beteiligungs AG,2017.0,opportunistic,multi_strategy,europe,,,1,,,0.027,0.078,1.07,1.21,0.2385,0.2499,2023-03-31,0,,0.0,,,,7.8,17.928286852589643,14.015151515151514,14.606741573033707,Q4,Q4,Q4,1.0,Q4,Weak vs vintage
denham-dcpf-vi-oil-gas-coinvestment-fund-lp,(Denham) DCPF VI Oil & Gas Coinvestment Fund LP,denham,Denham,2013.0,private_equity,co_investment,north_america,,,1,,,0.159,0.159,1.6,1.6,1.60137,1.60137,2025-06-30,0,,0.0,,,,15.9,71.62790697674419,60.909090909090914,72.17391304347827,Q2,Q2,Q2,3.0,Q2,Strong vs vintage
freeman-spogli-fs-equity-partners-v-lp,(Freeman Spogli) FS Equity Partners V LP,freeman-spogli,Freeman Spogli,2003.0,private_equity,buyout,north_america,,,1,,,0.161,0.161,2.1,2.1,2.09723,2.09723,2025-06-30,0,,0.0,,,,16.1,76.62337662337663,87.01298701298701,90.47619047619048,Q1,Q1,Q1,4.0,Q1,Exceptional vs vintage
freeman-spogli-fs-equity-partners-vi-lp,(Freeman Spogli) FS Equity Partners VI LP,freeman-spogli,Freeman Spogli,2009.0,private_equity,buyout,north_america,,,1,,,0.231,0.231,3.08,3.08,3.08434,3.08434,2025-06-30,0,,0.0,,,,23.1,86.8421052631579,96.3302752293578,99.13793103448276,Q1,Q1,Q1,4.0,Q1,Exceptional vs vintage
freeman-spogli-fs-equity-partners-vii-lp,(Freeman Spogli) FS Equity Partners VII LP,freeman-spogli,Freeman Spogli,2014.0,private_equity,buyout,north_america,,,1,,,0.085,0.085,1.56,1.56,0.910997,0.910997,2025-06-30,0,,0.0,,,,8.5,41.21863799283154,49.11660777385159,29.931972789115648,Q3,Q3,Q3,2.0,Q3,Below median vs vintage
freeman-spogli-fs-equity-partners-viii-lp,(Freeman Spogli) FS Equity Partners VIII LP,freeman-spogli,Freeman Spogli,2019.0,private_equity,buyout,north_america,,,1,,,0.118,0.118,1.54,1.54,0.394169,0.394169,2025-06-30,0,,0.0,,,,11.799999999999999,47.72727272727273,65.51724137931035,51.008645533141205,Q3,Q2,Q2,2.6666666666666665,Q2,Above median vs vintage
grove-street-gs-partners-buyouts-ii-llc,(Grove Street) GS Partners Buyouts II LLC,grove-street,Grove Street,2011.0,private_equity,buyout,global,,,1,,,0.149,0.149,1.96,1.96,1.64888,1.64888,2025-06-30,0,,0.0,,,,14.899999999999999,64.94845360824742,67.70833333333334,65.19607843137256,Q2,Q2,Q2,3.0,Q2,Strong vs vintage
grove-street-gs-partners-buyouts-llc,(Grove Street) GS Partners Buyouts LLC,grove-street,Grove Street,2006.0,private_equity,buyout,global,,,1,,,0.106,0.106,1.66,1.66,1.63589,1.63589,2025-06-30,0,,0.0,,,,10.6,70.34482758620689,64.80836236933798,70.74829931972789,Q2,Q2,Q2,3.0,Q2,Strong vs vintage
grove-street-gs-partners-ventures-ii-llc,(Grove Street) GS Partners Ventures II LLC,grove-street,Grove Street,2008.0,private_equity,buyout,global,,,1,,,0.205,0.205,3.35,3.35,2.80305,2.80305,2025-06-30,0,,0.0,,,,20.5,85.71428571428571,96.13899613899613,96.30996309963099,Q1,Q1,Q1,4.0,Q1,Exceptional vs vintage
grove-street-gs-partners-ventures-iii-llc,(Grove Street) GS Partners Ventures III LLC,grove-street,Grove Street,2013.0,private_equity,buyout,global,,,1,,,0.182,0.182,2.98,2.98,1.97148,1.97148,2025-06-30,0,,0.0,,,,18.2,80.93023255813954,92.72727272727272,85.21739130434783,Q1,Q1,Q1,4.0,Q1,Exceptional vs vintage
grove-street-gs-partners-ventures-llc,(Grove Street) GS Partners Ventures LLC,grove-street,Grove Street,2004.0,private_equity,buyout,global,,,1,,,0.072,0.072,1.56,1.56,1.55993,1.55993,2025-06-30,0,,0.0,,,,7.199999999999999,45.96774193548387,58.27338129496403,62.857142857142854,Q3,Q2,Q2,2.6666666666666665,Q2,Above median vs vintage
