match_score,lp_fund_id,lp_fund_name,lp_manager_name,lp_vintage_year,lp_sub_strategy,lp_geography,lp_irr_max,lp_tvpi_max,lp_dpi_max,canonical_fund_id,institutional_fund_name,institutional_vintage_year,institutional_quarter_count,institutional_latest_quarter,institutional_latest_tvpi,institutional_latest_irr,institutional_tvpi_change_total,institutional_trend_score
1.08,focus-ventures-iii,Focus Ventures III,Focus,2006.0,venture_capital,north_america,-0.1,0.54,0.5425,fund_000049,Focus Ventures III,2006.0,19,2025-Q3,0.54,-10.0,0.0,18.0
1.08,fox-paine-capital-fund-ii,Fox Paine Capital Fund II,Fox Paine,2000.0,buyout,north_america,0.189,1.9,1.90264,fund_000050,Fox Paine Capital Fund II,2000.0,19,2025-Q3,1.9,18.9,-0.27,27.2
1.08,ggv-capital-v,GGV Capital V,GGV,2014.0,venture_capital,north_america,0.242,5.0,2.83473,fund_000056,GGV Capital V,2014.0,19,2025-Q3,5.45,24.9,2.1500000000000004,117.70000000000002
1.08,francisco-partners-agility-ii,Francisco Partners Agility II,Francisco Partners,2020.0,buyout,global,,2.18,0.923235,fund_000216,Francisco Partners Agility II,2020.0,6,2025-Q3,2.18,28.0,0.7800000000000002,49.70000000000001
1.08,general-atlantic,General Atlantic,General Atlantic,2016.0,buyout,global,0.139,1.57,0.409168,fund_000052,General Atlantic,2016.0,19,2025-Q3,1.6,13.8,0.49,64.1
1.08,diamond-castle-partners-iv,Diamond Castle Partners IV,Diamond Castle,2005.0,buyout,north_america,0.006,1.03,1.02727,fund_000038,Diamond Castle Partners IV,2005.0,19,2025-Q3,1.03,0.6,0.0,38.0
1.08,ggv-capital-select,GGV Capital Select,GGV,2015.0,venture_capital,asia_pacific,0.029,1.2,0.9521,fund_000055,GGV Capital Select,2015.0,19,2025-Q3,1.23,3.2,-0.2099999999999999,20.3
1.08,ggv-capital-viii,GGV Capital VIII,GGV,2021.0,venture_capital,north_america,0.056,1.2,0.0,fund_000229,GGV Capital VIII,2021.0,4,2025-Q3,1.18,5.6,0.1199999999999998,15.699999999999996
1.08,ggv-capital-vi-plus,GGV Capital VI Plus,GGV,2018.0,venture_capital,north_america,0.152,1.86,1.30282,fund_000218,GGV Capital VI Plus,2018.5,15,2025-Q3,1.34,11.3,-0.8400000000000001,-36.5
1.08,ggv-capital-vi,GGV Capital VI,GGV,2016.0,venture_capital,north_america,0.086,1.67,0.620225,fund_000057,GGV Capital VI,2016.0,19,2025-Q3,1.54,7.1,0.2099999999999999,39.4
1.08,vantagepoint-venture-partners-iv,VantagePoint Venture Partners IV,VantagePoint,2000.0,venture_capital,north_america,-0.0054,0.960128,0.9587,fund_000174,VantagePoint Venture Partners IV,2000.0,19,2025-Q3,0.95,-0.7,0.01,36.8
1.08,advent-latin-american-private-equity-fund-vi-c,Advent Latin American Private Equity Fund VI C,Advent,2015.0,buyout,latin_america,0.132,1.86,0.928367,fund_000006,Advent Latin American Private Equity Fund VI C,2015.0,19,2025-Q3,1.495,9.75,0.4850000000000001,66.65
1.08,affinity-asia-pacific-fund-iii,Affinity Asia Pacific Fund III,Affinity,2006.0,buyout,asia_pacific,0.0896,1.44122,1.4303,fund_000007,Affinity Asia Pacific Fund III,2006.0,19,2025-Q3,1.39,8.7,0.0199999999999997,39.1
1.08,usv-2019,USV 2019,Union Square Ventures,2019.0,venture_capital,north_america,0.339,2.85,1.0,fund_000221,USV 2019,2019.0,10,2025-Q3,2.97,33.7,-0.1299999999999999,-36.9
1.08,usv-2022,USV 2022,Union Square Ventures,2022.0,venture_capital,north_america,0.071,1.13,0.0,fund_000249,USV 2022,2022.0,2,2025-Q3,1.12,6.0,-0.0099999999999997,2.500000000000009
1.08,usv-2021,USV 2021,Union Square Ventures,2021.0,venture_capital,north_america,-0.083,0.77,0.0,fund_000237,USV 2021,2021.0,4,2025-Q3,0.78,-7.4,-0.14,-1.3000000000000007
1.08,usv-climate-2021,USV Climate 2021,Union Square Ventures,2020.0,venture_capital,global,0.06,1.18,0.0,fund_000238,USV Climate 2021,2020.0,4,2025-Q3,1.18,5.7,0.0999999999999998,13.399999999999997
1.08,vantagepoint-venture-partners-2006,VantagePoint Venture Partners 2006,VantagePoint,2006.0,venture_capital,north_america,-0.125,0.33,0.328,fund_000173,VantagePoint Venture Partners 2006,2006.0,19,2025-Q3,0.33,-12.5,-0.0399999999999999,12.000000000000004
1.08,union-square-ventures-opportunity-2014,Union Square Ventures Opportunity 2014,Union Square Ventures,2014.0,venture_capital,north_america,0.394,6.23,5.77372,fund_000169,Union Square Ventures Opportunity 2014,2014.0,18,2025-Q3,6.11,39.2,4.36,233.7
1.08,union-square-ventures-2012,Union Square Ventures 2012,Union Square Ventures,2011.0,venture_capital,north_america,0.535,23.78,23.0171,fund_000168,Union Square Ventures 2012,2011.0,4,2020-Q4,6.5,32.6,2.61,119.0
1.08,tpg-star-l-p,TPG STAR,TPG,2006.0,buyout,global,0.0617,1.28,1.28,fund_000165,TPG STAR,2006.0,19,2025-Q3,1.28,6.2,-0.04,36.1
1.08,alpine-investors-viii,Alpine Investors VIII,Alpine Investors,2021.0,buyout,north_america,0.181,1.49,0.0311615,fund_000243,Alpine Investors VIII,2021.0,2,2025-Q3,1.5,16.7,0.01,2.9999999999999982
1.08,tpg-partners-viii,TPG Partners VIII,TPG,2018.0,buyout,global,0.135,1.51,0.354023,fund_000198,TPG Partners VIII,2018.0,8,2025-Q3,1.53,15.8,0.1400000000000001,3.1000000000000085
1.08,tpg-partners-vii-l-p,TPG Partners VII,TPG,2015.0,buyout,global,0.188,2.0,1.83102,fund_000164,TPG Partners VII,2015.0,19,2025-Q3,2.02,20.1,0.75,76.9
1.08,tpg-partners-vi,TPG Partners VI,TPG,2008.0,buyout,global,0.0967,1.49,1.48,fund_000163,TPG Partners VI,2008.0,19,2025-Q3,1.49,9.7,-0.09,34.099999999999994
1.08,tpg-partners-v,TPG Partners V,TPG,2006.0,buyout,global,0.0481,1.36,1.36,fund_000162,TPG Partners V,2006.0,19,2025-Q3,1.37,4.8,-0.0599999999999998,35.60000000000001
1.08,sixth-cinven-fund,Sixth Cinven Fund,Sixth Cinven,2016.0,buyout,europe,0.174,2.0,1.25751,fund_000142,Sixth Cinven Fund,2016.0,18,2025-Q3,2.0,17.2,0.8400000000000001,78.1
1.08,seventh-cinven-fund,Seventh Cinven Fund,Seventh Cinven,2019.0,buyout,europe,0.112,1.36,0.219576,fund_000194,Seventh Cinven Fund,2019.0,7,2025-Q3,1.38,10.9,0.1399999999999999,15.599999999999996
1.08,arsenal-capital-partners-vi,Arsenal Capital Partners VI,Arsenal,2021.0,buyout,north_america,-0.032,0.94,0.0549771,fund_000245,Arsenal Capital Partners VI,2021.0,2,2025-Q3,0.95,-3.6,0.0799999999999999,13.299999999999995
1.08,asia-pacific-trust,Asia Pacific Trust,Asia Pacific Trust,1990.0,buyout,asia_pacific,0.023,1.2,1.1591,fund_000014,Asia Pacific Trust,1990.0,19,2025-Q3,1.18,2.6,0.0,38.0
1.08,arsenal-capital-partners-growth,Arsenal Capital Partners Growth,Arsenal,2021.0,growth_equity,north_america,-0.219,0.74,0.271812,fund_000244,Arsenal Capital Partners Growth,2021.0,2,2025-Q3,0.73,-20.6,-0.01,4.999999999999998
